          Country RedMeat WhiteMeat Eggs Milk Fish Cereals Starch Nuts Fr.Veg
1         Albania    10.1       1.4  0.5  8.9  0.2    42.3    0.6  5.5    1.7
2         Austria     8.9      14.0  4.3 19.9  2.1    28.0    3.6  1.3    4.3
3         Belgium    13.5       9.3  4.1 17.5  4.5    26.6    5.7  2.1    4.0
4        Bulgaria     7.8       6.0  1.6  8.3  1.2    56.7    1.1  3.7    4.2
5  Czechoslovakia     9.7      11.4  2.8 12.5  2.0    34.3    5.0  1.1    4.0
6         Denmark    10.6      10.8  3.7 25.0  9.9    21.9    4.8  0.7    2.4
7       E.Germany     8.4      11.6  3.7 11.1  5.4    24.6    6.5  0.8    3.6
8         Finland     9.5       4.9  2.7 33.7  5.8    26.3    5.1  1.0    1.4
9          France    18.0       9.9  3.3 19.5  5.7    28.1    4.8  2.4    6.5
10         Greece    10.2       3.0  2.8 17.6  5.9    41.7    2.2  7.8    6.5
11        Hungary     5.3      12.4  2.9  9.7  0.3    40.1    4.0  5.4    4.2
12        Ireland    13.9      10.0  4.7 25.8  2.2    24.0    6.2  1.6    2.9
13          Italy     9.0       5.1  2.9 13.7  3.4    36.8    2.1  4.3    6.7
14    Netherlands     9.5      13.6  3.6 23.4  2.5    22.4    4.2  1.8    3.7
15         Norway     9.4       4.7  2.7 23.3  9.7    23.0    4.6  1.6    2.7
16         Poland     6.9      10.2  2.7 19.3  3.0    36.1    5.9  2.0    6.6
17       Portugal     6.2       3.7  1.1  4.9 14.2    27.0    5.9  4.7    7.9
18        Romania     6.2       6.3  1.5 11.1  1.0    49.6    3.1  5.3    2.8
19          Spain     7.1       3.4  3.1  8.6  7.0    29.2    5.7  5.9    7.2
20         Sweden     9.9       7.8  3.5 24.7  7.5    19.5    3.7  1.4    2.0
21    Switzerland    13.1      10.1  3.1 23.8  2.3    25.6    2.8  2.4    4.9
22             UK    17.4       5.7  4.7 20.6  4.3    24.3    4.7  3.4    3.3
23         Russia     9.3       4.6  2.1 16.6  3.0    43.6    6.4  3.4    2.9
24      W.Germany    11.4      12.5  4.1 18.8  3.4    18.6    5.2  1.5    3.8
25     Yugoslavia     4.4       5.0  1.2  9.5  0.6    55.9    3.0  5.7    3.2
26	Iceland       5.3      15.0  0.3  5.3  12.3   21.4    3.7  1.8    1.0
27	Cyprus        6.3       4.8  2.2 12.0  3.7    31.2    3.5  1.0    0.9
28      Malta         7.8      10.0  2.3 15.1  1.7    34.1    4.5  0.7    4.2
29	Turkey        6.6       8.5  0.8  9.9  3.5    27.3    2.8  4.9    3.5
30      Belarus       8.3       5.9  3.2 14.1  4.4    40.2    5.2  0.8    6.1
